search_term,Unique User Count,Result Count,No Results Count,No Result Percentage,Using Autocomplete,Using Free Text
eleganus,1,0,2,1,0,2
aspide,1,0,2,1,0,2
roses  white wine ( white-cream),2,0,2,1,2,0
greenary,3,1,2,0.6666666666666666,0,2
wedding season,53,1575,2,0.004781829049611476,0,1577
whitehydrangea,2,0,2,1,0,2
delpg,2,0,2,1,0,2
camelia,2,0,2,1,0,2
alstoemeria,2,0,2,1,0,2
delphinium belladonna light blue,8,11,2,0.18181818181818182,13,0
tracking,2,0,2,1,0,2
corn flower,2,0,2,1,0,2
spray,7,10,2,0.18181818181818182,0,8
queen annes lace,13,16,2,0.13333333333333333,0,11
roses aerobic,2,0,2,1,2,0
hydranges,2,0,2,1,0,2
david austin garden roses keira,3,1,2,0.6666666666666666,3,0
feverfew,23,31,2,0.0625,0,19
anemoe,2,0,2,1,0,1
coreopsis,3,1,2,0.6666666666666666,0,3
parvifola,2,0,2,1,0,2
tofee,2,0,2,1,0,2
goldenrod,2,0,2,1,0,0
hydramgea,2,0,2,1,0,2
tulip,33,52,2,0.04081632653061224,0,41
pennycress  green dragon,6,4,2,0.3333333333333333,6,0
ranucukus,2,0,2,1,0,1
koko loco,2,0,2,1,0,2
rancunulus,1,0,2,1,0,2
ranunculus butterfly ariadne,6,11,2,0.2,13,0
garden roses coral x pression,2,1,2,0.6666666666666666,2,1
spray rose,46,75,2,0.030303030303030304,0,59
antique hydrangea,7,15,2,0.16666666666666666,0,5
aster pericallis blue,4,3,2,0.375,4,1
matricaria (feverfew) white chamomile double,2,2,2,0.5,4,0
camomile,2,0,2,1,0,2
renunculus,2,0,2,1,1,0
"renanculus ",1,0,2,1,1,0
mundial,1,0,2,1,1,0
tiet,2,0,2,1,0,2
carnations,41,86,2,0.0234375,0,61
hydrangea  dark blue blue berry select,4,5,2,0.4,7,0
peonia,2,0,2,1,1,1
rannucules,1,0,2,1,0,2
rununculas,2,0,2,1,0,2
garden roses princess miyuki (first snow),2,0,2,1,2,0
barbados,2,0,2,1,0,2
charmelia,2,0,2,1,0,2
salidago,2,0,2,1,0,1
supplies,2,1,2,0.6666666666666666,0,2
oceansong,2,0,2,1,0,2
betrice,2,0,2,1,1,0
texture,2,0,2,1,0,2
"stock assorted (40 white , 20 reddisch purple)",3,1,2,0.6666666666666666,3,0
limoium,2,0,2,1,0,2
" fritillaria ",1,1,2,0.6666666666666666,1,0
hygrangeas,2,0,2,1,0,2
dahlias cafe au lait (we do not accept claims on this delicate variety),4,3,2,0.4,5,0
delphinim,2,0,2,1,0,2
lathyrus,2,0,2,1,0,1
ranunculus  butterfly phosphorus,2,0,2,1,2,0
cmf,2,0,2,1,0,2
alyssum,2,0,2,1,1,1
chrysanthemym,1,0,2,1,0,2
lark,4,4,2,0.3333333333333333,0,6
astilbe cream,2,0,2,1,2,0
pittosporum italian variegated (200 gr),6,4,2,0.3333333333333333,6,0
stock apricot,7,8,2,0.2,8,1
scabiosa,63,107,2,0.02247191011235955,0,65
coneflower,2,0,2,1,1,1
garden rose,65,152,2,0.01694915254237288,0,71
spray roses antigua,2,0,2,1,2,0
sandersonia,1,0,2,1,0,2
scabious,1,0,1,1,1,0
pinkcarnation,1,0,1,1,0,1
loosestrife,1,0,1,1,0,0
pastis,1,0,1,1,0,1
podacarpus,1,0,1,1,1,0
maybells,1,0,1,1,0,0
hygr,1,0,1,1,0,1
clematsi,1,0,1,1,0,1
lithianthus,1,0,1,1,0,1
webbster,1,0,1,1,0,1
estrantia,1,0,1,1,0,1
helebores,1,0,1,1,1,0
ghypsophelia,1,0,1,1,0,1
leather,7,11,1,0.09090909090909091,0,4
"daisies ",1,0,1,1,0,1
roses 3d (pink to orange color),1,0,1,1,1,0
chrysanthemum spray pom cushion bronze,1,0,1,1,1,0
lysmachiagooseneck,1,0,1,1,0,1
delphinium bella andes,2,1,1,0.5,2,0
buttonmums,1,0,1,1,0,1
bayleaf,1,0,1,1,0,1
"oncidium ",1,0,1,1,0,1
gentiana,1,0,1,1,0,1
moongate,1,0,1,1,0,1
gysophilia,1,0,1,1,0,1
darcy,1,0,1,1,0,1
ivannovo,1,0,1,1,0,1
igauzu,1,0,1,1,0,0
chrysanthemum spray pom daisy alma,8,12,1,0.08333333333333333,13,0
foxtail lily medium assorted,1,0,1,1,1,0
"calla ",6,6,1,0.14285714285714285,0,5
poppies assorted colors in bunch,7,14,1,0.1,15,0
delphimiu,1,0,1,1,0,1
limomix,1,0,1,1,0,1
"cala ",1,0,1,1,0,1
sustainable,1,0,1,1,1,0
lathyru,1,0,1,1,1,0
carnationa,1,0,1,1,0,1
"nagy ",1,0,1,1,0,1
brownie (tinted/ dyed),1,0,1,1,1,0
reds,1,0,1,1,0,1
ranunculuss,1,0,1,1,1,0
ggrass,1,0,1,1,0,1
roses akito,2,2,1,0.3333333333333333,3,0
roses ocean song,9,28,1,0.0625,29,0
